page_path,page_title,original_video_title_or_filename,youtube_search_query,candidate_title,candidate_url,candidate_channel,candidate_duration,original_mp4_url
/hien-tuong-moi-trong-dai-dich-gan-2-000-nguoi-hoc-phap-luan-cong-qua-internet/,Hiện tượng mới trong đại dịch Gần 2 000 người học Pháp Luân Công qua internet,Hiện tượng mới trong đại dịch Gần 2 000 người học Pháp Luân Công qua internet,Hiện tượng mới trong đại dịch Gần 2 000 người học Pháp Luân Công qua internet,Hiện tượng mới trong đại dịch Gần 2 000 người học Pháp Luân Công qua internet,https://www.youtube.com/watch?v=q4MI9SapTY0,Info Falun Dafa,261.0,https://dieukydieu.tv/wp-content/uploads/2021/06/Hi%E1%BB%87n-t%C6%B0%E1%BB%A3ng-m%E1%BB%9Bi-trong-%C4%91%E1%BA%A1i-d%E1%BB%8Bch-G%E1%BA%A7n-2-000-ng%C6%B0%E1%BB%9Di-h%E1%BB%8Dc-Ph%C3%A1p-Lu%C3%A2n-C%C3%B4ng-qua-internet.mp4
/hoc-vien-hai-phong-ky-niem-ngay-phap-luan-dai-phap-the-gioi-13-05-2018/,Học viên Hải Phòng kỷ niệm ngày Pháp Luân Đại Pháp thế giới 13/05/2018,hai phong,hai phong Pháp Luân Công,Pháp Luân Công Hải Phòng - Chia sẻ của các học viên trẻ HP,https://www.youtube.com/watch?v=YRPwloT4E3Q,Thuctinh vn,460.0,https://dieukydieu.tv/wp-content/uploads/2020/video/hai-phong.mp4
/index.html?p=1634.html,Sự Hồi Sinh Kỳ Diệu Của Người Mẹ Trẻ,nguoi me tre,nguoi me tre Pháp Luân Công,Pháp Luân Công: Sự hồi sinh kỳ diệu của người mẹ trẻ nhờ tu luyện,https://www.youtube.com/watch?v=qkOS4LOZfjk,Khoa học và Tu luyện,474.0,https://dieukydieu.tv/wp-content/uploads/2020/video/nguoi-me-tre.mp4
/index.html?p=1671.html,Pháp Luân Công tại Đồng Xoài – Bình Phước,binh phuoc,binh phuoc Pháp Luân Công,Tập Pháp Luân Công tại Bình Phước.,https://www.youtube.com/watch?v=s2YiYP4to6M,THỨC TỈNH,554.0,https://dieukydieu.tv/wp-content/uploads/2020/video/binh-phuoc.mp4
/index.html?p=1677.html,"Luyện Công Tập Thể tại thành phố Vinh, Nghệ An",nghe an,nghe an Pháp Luân Công,Pháp Luân Công tại Nghệ an (11/2018),https://www.youtube.com/watch?v=rzb9pMEXZgE,Khai Mở,711.0,https://dieukydieu.tv/wp-content/uploads/2020/video/nghe-an.mp4
/index.html?p=1686.html,"Sydney, Úc: Chào mừng ngày Pháp Luân Đại Pháp thế giới 13-05-2018",Sydney,"Sydney, Úc: Chào mừng ngày Pháp Luân Đại Pháp thế giới 13-05-2018","Sydney, Úc  Chào mừng ngày Pháp Luân Đại Pháp thế giới 13-05-2018",https://www.youtube.com/watch?v=ujaS4HVJqFw,Khoa học và Tu luyện,323.0,https://dieukydieu.tv/wp-content/uploads/2020/video/Sydney.mp4
/index.html?p=1690.html,Pháp Luân Công trên thế giới – Falun Dafa in the world,falun dafa in the word,falun dafa in the word Pháp Luân Công,"Sydney, Úc: Chào mừng ngày Pháp Luân Đại Pháp thế giới 13-05-2018",https://www.youtube.com/watch?v=2U0lNBZYoHU,Trở Về Nhà,323.0,https://dieukydieu.tv/wp-content/uploads/2020/video/falun-dafa-in-the-word.mp4
/index.html?p=1693.html,Thế giới nói gì về Pháp Luân Công,the gioi noi gi ve phap luan cong,the gioi noi gi ve phap luan cong,Thế giới nói gì về Pháp Luân Công,https://www.youtube.com/watch?v=rr5kuRuy1tk,Jerome Nguyen,955.0,https://dieukydieu.tv/wp-content/uploads/2020/video/the-gioi-noi-gi-ve-phap-luan-cong.mp4
/index.html?p=1700.html,Mẹ tôi tập Pháp Luân Công-những lợi ích tuyệt vời,me toi tap phap luan cong,me toi tap phap luan cong,Công dân tuân thủ pháp luật tu luyện sức khỏe thân-tâm theo Pháp Luân Đại Pháp(Pháp Luân Công) (P.3),https://www.youtube.com/watch?v=ShmNei4AxwI,Mai Chung,128.0,https://dieukydieu.tv/wp-content/uploads/2020/video/me-toi-tap-phap-luan-cong.mp4
/index.html?p=1709.html,Pháp Luân Công dưới góc nhìn của những người làm trong ngành an ninh và quốc phòng,anninh 1,anninh 1 Pháp Luân Công,"Pháp Luân Công: Câu chuyện thú vị về cán bộ an ninh tìm hiểu Pháp Luân Công   Bác  Vũ Thị Ngắn, 75t",https://www.youtube.com/watch?v=14fbr4SWxoU,Khoa học và Tu luyện,386.0,https://dieukydieu.tv/wp-content/uploads/2020/02/anninh-1.mp4
